STATION,NAME,DATE,DY,PRCP,TMAX,TMIN
USC00036920,"STUTTGART 9 ESE, AR US",1959-09,1,11.84,84.9,61.9
USC00036920,"STUTTGART 9 ESE, AR US",1959-10,1,2.72,74.5,48.6
USC00036920,"STUTTGART 9 ESE, AR US",1959-11,1,3.3,58.4,35.7
USC00036920,"STUTTGART 9 ESE, AR US",1959-12,1,4.87,54.8,35.6
USC00036920,"STUTTGART 9 ESE, AR US",1960-01,1,4.54,48,33.4
USC00036920,"STUTTGART 9 ESE, AR US",1960-02,1,3.11,48,32.5
USC00036920,"STUTTGART 9 ESE, AR US",1960-03,1,4.8,48.2,31.2
USC00036920,"STUTTGART 9 ESE, AR US",1960-04,1,2.57,74.5,51.5
USC00036920,"STUTTGART 9 ESE, AR US",1960-05,1,4.53,78.9,56.9
USC00036920,"STUTTGART 9 ESE, AR US",1960-06,1,7.76,87.6,67.6
USC00036920,"STUTTGART 9 ESE, AR US",1960-07,1,1.57,91.5,70.7
USC00036920,"STUTTGART 9 ESE, AR US",1960-08,1,1.17,92.1,70.8
USC00036920,"STUTTGART 9 ESE, AR US",1960-09,1,5.47,86.9,64
USC00036920,"STUTTGART 9 ESE, AR US",1960-10,1,4.73,75.8,54.7
USC00036920,"STUTTGART 9 ESE, AR US",1960-11,1,4.33,64.4,40.2
USC00036920,"STUTTGART 9 ESE, AR US",1960-12,1,4.98,48.5,29.6
USC00036920,"STUTTGART 9 ESE, AR US",1961-01,1,1.36,47,25.6
USC00036920,"STUTTGART 9 ESE, AR US",1961-02,1,5.35,56.7,37.3
USC00036920,"STUTTGART 9 ESE, AR US",1961-03,1,8.75,64.3,44.6
USC00036920,"STUTTGART 9 ESE, AR US",1961-04,1,2.96,69.4,48
USC00036920,"STUTTGART 9 ESE, AR US",1961-05,1,6.89,77.8,57.6
USC00036920,"STUTTGART 9 ESE, AR US",1961-06,1,2.43,85.1,65.1
USC00036920,"STUTTGART 9 ESE, AR US",1961-07,1,3.3,89.5,68.6
USC00036920,"STUTTGART 9 ESE, AR US",1961-08,1,2.92,87.7,66.8
USC00036920,"STUTTGART 9 ESE, AR US",1961-09,1,3.61,83.9,61.8
USC00036920,"STUTTGART 9 ESE, AR US",1961-10,1,0.6,75.8,46.4
USC00036920,"STUTTGART 9 ESE, AR US",1961-11,1,9.42,60.1,41.3
USC00036920,"STUTTGART 9 ESE, AR US",1961-12,1,9.78,48.4,32.7
USC00036920,"STUTTGART 9 ESE, AR US",1962-01,1,5.07,45.7,25.4
USC00036920,"STUTTGART 9 ESE, AR US",1962-02,1,5.3,60.2,38.8
USC00036920,"STUTTGART 9 ESE, AR US",1962-03,1,3.58,57.1,38.1
USC00036920,"STUTTGART 9 ESE, AR US",1962-04,1,2,69.3,48.1
USC00036920,"STUTTGART 9 ESE, AR US",1962-05,1,2.96,86.8,64.5
USC00036920,"STUTTGART 9 ESE, AR US",1962-06,1,7.57,86.2,67.5
USC00036920,"STUTTGART 9 ESE, AR US",1962-07,1,3.73,90.6,71.4
USC00036920,"STUTTGART 9 ESE, AR US",1962-08,1,0.93,91.3,68.2
USC00036920,"STUTTGART 9 ESE, AR US",1962-09,1,4.22,82.8,62.1
USC00036920,"STUTTGART 9 ESE, AR US",1962-10,1,4.54,76.7,53.9
USC00036920,"STUTTGART 9 ESE, AR US",1962-11,1,1.84,60.7,38.1
USC00036920,"STUTTGART 9 ESE, AR US",1962-12,1,1.59,50.9,29.9
USC00036920,"STUTTGART 9 ESE, AR US",1963-01,1,0.75,44.1,22
USC00036920,"STUTTGART 9 ESE, AR US",1963-02,1,3.01,48.6,25.8
USC00036920,"STUTTGART 9 ESE, AR US",1963-03,1,4.2,69.3,43.4
USC00036920,"STUTTGART 9 ESE, AR US",1963-04,1,6.42,74.7,53.2
USC00036920,"STUTTGART 9 ESE, AR US",1963-05,1,2.98,81.2,60
USC00036920,"STUTTGART 9 ESE, AR US",1963-06,1,1.92,89.8,67.7
USC00036920,"STUTTGART 9 ESE, AR US",1963-07,1,4.26,89.1,69.1
USC00036920,"STUTTGART 9 ESE, AR US",1963-08,1,1.81,90.5,68.3
USC00036920,"STUTTGART 9 ESE, AR US",1963-09,1,3.53,84.5,60.8
USC00036920,"STUTTGART 9 ESE, AR US",1963-10,1,0,85.3,49.8
USC00036920,"STUTTGART 9 ESE, AR US",1963-11,1,3.69,65.8,38.4
USC00036920,"STUTTGART 9 ESE, AR US",1963-12,1,3.68,42.5,21.7
USC00036920,"STUTTGART 9 ESE, AR US",1964-01,1,1.97,51.6,28.4
USC00036920,"STUTTGART 9 ESE, AR US",1964-02,1,3.5,51.6,31.8
USC00036920,"STUTTGART 9 ESE, AR US",1964-03,1,8.81,63.8,41.6
USC00036920,"STUTTGART 9 ESE, AR US",1964-04,1,15.38,73.3,55.3
USC00036920,"STUTTGART 9 ESE, AR US",1964-05,1,0.54,83.3,62.8
USC00036920,"STUTTGART 9 ESE, AR US",1964-06,1,1.07,90,69.2
USC00036920,"STUTTGART 9 ESE, AR US",1964-07,1,3.94,92.3,71.4
USC00036920,"STUTTGART 9 ESE, AR US",1964-08,1,3.5,88.7,69.7
USC00036920,"STUTTGART 9 ESE, AR US",1964-09,1,3.73,85.2,61.6
USC00036920,"STUTTGART 9 ESE, AR US",1964-10,1,2.15,72.5,45.3
USC00036920,"STUTTGART 9 ESE, AR US",1964-11,1,3.27,66.8,43.7
USC00036920,"STUTTGART 9 ESE, AR US",1964-12,1,6.06,52,34.1
USC00036920,"STUTTGART 9 ESE, AR US",1965-01,1,3.85,52.9,33.2
USC00036920,"STUTTGART 9 ESE, AR US",1965-02,1,6.5,52.5,31.5
USC00036920,"STUTTGART 9 ESE, AR US",1965-03,1,5.43,52.2,35.2
USC00036920,"STUTTGART 9 ESE, AR US",1965-04,1,1.76,77.5,55
USC00036920,"STUTTGART 9 ESE, AR US",1965-05,1,1.94,83.1,64.3
USC00036920,"STUTTGART 9 ESE, AR US",1965-06,1,3.16,87.4,68.6
USC00036920,"STUTTGART 9 ESE, AR US",1965-07,1,1.66,92.5,71.5
USC00036920,"STUTTGART 9 ESE, AR US",1965-08,1,1.41,90,68.6
USC00036920,"STUTTGART 9 ESE, AR US",1965-09,1,8.72,84.1,64.8
USC00036920,"STUTTGART 9 ESE, AR US",1965-10,1,0.71,74.4,48.3
USC00036920,"STUTTGART 9 ESE, AR US",1965-11,1,1.45,68.6,45.5
USC00036920,"STUTTGART 9 ESE, AR US",1965-12,1,1.65,56.8,34.9
USC00036920,"STUTTGART 9 ESE, AR US",1966-01,1,2.24,44.2,27.6
USC00036920,"STUTTGART 9 ESE, AR US",1966-02,1,7.19,50.2,34.1
USC00036920,"STUTTGART 9 ESE, AR US",1966-03,1,0.57,64.4,41
USC00036920,"STUTTGART 9 ESE, AR US",1966-04,1,6.37,72.4,50.2
USC00036920,"STUTTGART 9 ESE, AR US",1966-05,1,3,78.1,59
USC00036920,"STUTTGART 9 ESE, AR US",1966-06,1,0.06,88.9,66.6
USC00036920,"STUTTGART 9 ESE, AR US",1966-07,1,5.2,92.3,73.7
USC00036920,"STUTTGART 9 ESE, AR US",1966-08,1,5.5,85,67.9
USC00036920,"STUTTGART 9 ESE, AR US",1966-09,1,2.59,81.1,60.9
USC00036920,"STUTTGART 9 ESE, AR US",1966-10,1,4.43,70.8,46
